Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00      5.24     0.00    32768     0.00     0.00  sub_10061250()
  0.00      5.24     0.00    29367     0.00     0.00  sub_100ca122()
  0.00      5.24     0.00    29360     0.00     0.00  sub_100c8749()
  0.00      5.24     0.00    28818     0.00     0.00  fpuinsns::fcomst(int)
  0.00      5.24     0.00    28350     0.00     0.00  sub_100ca01f()
  0.00      5.24     0.00    27702     0.00     0.00  sub_100574a0()
  0.00      5.24     0.00    25291     0.00     0.00  fpuinsns::fmulst2(int, int)
  0.00      5.24     0.00    25274     0.00     0.00  subopt_10065830()
  0.00      5.24     0.00    25001     0.00     0.00  sub_1004fe50()
  0.00      5.24     0.00    23324     0.00     0.00  fpuinsns::fsubrst(int)
  0.00      5.24     0.00    23108     0.00     0.00  sub_10050c10()
  0.00      5.24     0.00    21738     0.00     0.00  subopt_1005f7e0()
  0.00      5.24     0.00    21339     0.00     0.00  sub_100c9890()
  0.00      5.24     0.00    20480     0.00     0.00  sub_100501e0()
  0.00      5.24     0.00    20136     0.00     0.00  subopt_10056420()
  0.00      5.24     0.00    20058     0.00     0.00  sub_1005f800()
  0.00      5.24     0.00    18580     0.00     0.00  sub_10058540()
  0.00      5.24     0.00    18580     0.00     0.00  sub_10062c20()
  0.00      5.24     0.00    17863     0.00     0.00  subopt_10059ed0()
  0.00      5.24     0.00    11722     0.00     0.00  sub_100caaf0()
  0.00      5.24     0.00    11716     0.00     0.00  sub_1004fd40()
  0.00      5.24     0.00    11532     0.00     0.00  indirectCall(int, int, int, int)
  0.00      5.24     0.00     9942     0.00     0.00  sub_100609d0()
  0.00      5.24     0.00     8125     0.00     0.00  sub_1005a420()
  0.00      5.24     0.00     6739     0.00     0.00  synsoemuIndirectCall(int, int, int, int)
  0.00      5.24     0.00     6735     0.00     0.00  sub_10004000()
  0.00      5.24     0.00     6532     0.00     0.00  sub_10060b20()
  0.00      5.24     0.00     5453     0.00     0.00  sub_100c9d9b()
  0.00      5.24     0.00     5034     0.00     0.00  subopt_1001a000()
  0.00      5.24     0.00     4742     0.00     0.00  sub_1004fff0()
  0.00      5.24     0.00     4733     0.00     0.00  sub_100502a0()
  0.00      5.24     0.00     4649     0.00     0.00  sub_10067ed0()
  0.00      5.24     0.00     4645     0.00     0.00  sub_100175b0()
  0.00      5.24     0.00     4645     0.00     0.00  sub_10019e90()
  0.00      5.24     0.00     4645     0.00     0.00  sub_10055810()
  0.00      5.24     0.00     4014     0.00     0.01  sub_10050ca0()
  0.00      5.24     0.00     4012     0.00     0.00  sub_1004e2b0()
  0.00      5.24     0.00     4011     0.00     0.00  sub_1004d450()
  0.00      5.24     0.00     4011     0.00     0.00  sub_1004d470()
  0.00      5.24     0.00     3776     0.00     0.00  subopt_10061ad0()
  0.00      5.24     0.00     3536     0.00     0.00  subopt_10061330()
  0.00      5.24     0.00     3536     0.00     0.00  subopt_100614d0()
  0.00      5.24     0.00     3536     0.00     0.00  subopt_100617c0()
  0.00      5.24     0.00     3173     0.00     0.00  sub_10049f40()
  0.00      5.24     0.00     3173     0.00     0.00  sub_1004a140()
  0.00      5.24     0.00     2760     0.00     0.00  sub_10068560()
  0.00      5.24     0.00     2750     0.00     0.00  sub_10062750()
  0.00      5.24     0.00     2639     0.00     0.00  sub_100ca661()
